scraped_at,tab,load_id,pay,pickup_location,pickup_time,delivery_location,delivery_time,dhpu,loaded,notes,total_miles,rate_per_mile,score,deadhead_miles
2026-06-27T13:09:51.603452,WG,72104385,"$1,171.12","BEDFORD, MA",07/2 09:00,"NORTHBOROUGH, MA",07/2 11:08,927,30,NO NOTES,957,1.22,7,
2026-06-27T13:09:54.634904,WG,72105810,"$1,375.91","ALLENTOWN, PA",07/2 09:00,"RENSSELAER, NY",07/2 15:08,617,218,NO NOTES,835,1.65,19,
2026-06-27T13:09:57.782511,WG,72105800,"$1,440.85","PHILADELPHIA, PA",07/2 09:00,"RENSSELAER, NY",07/2 15:07,628,217,NO NOTES,845,1.71,21,
2026-06-27T14:51:55.502476,SE,72107972,"$1,570.67","ELMIRA, NY",06/29 08:00,"HARRODSBURG, KY",06/30 08:00,"2,710",673,NO NOTES,3383,0.46,1,
2026-06-27T15:02:48.474442,WG,72107125,$928.19,"LOCKBOURNE, OH",07/2 11:00,"LOCKBOURNE, OH",07/2 12:31,449,1,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,450,2.06,30,
2026-06-27T16:02:57.916935,WG,72106751,$734.59,"BROOKS, KY",07/2 12:00,"BROOKS, KY",07/2 13:30,421,1,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,422,1.74,21,
2026-06-27T16:09:41.789206,WG,72106808,$734.59,"BROOKS, KY",07/2 12:00,"BROOKS, KY",07/2 13:30,421,1,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,422,1.74,21,
2026-06-27T18:10:42.921828,SE,72106466,"$5,721.46","CHARLOTTESVILLE, VA",07/2 14:00,"FORT LEWIS, WA",07/6 12:00,349,"2,833",NO NOTES,3182,1.80,27,
2026-06-27T18:49:56.814823,WG,72108037,"$2,636.58","MISSISSAUGA, ON",06/30 09:00,"MOUNT PROSPECT, IL",07/1 08:00,809,528,NO NOTES,1337,1.97,29,
2026-06-27T19:23:20.240375,WG,72107501,"$1,003.48","RICHLAND, MS",07/2 15:15,"MEMPHIS, TN",07/2 21:15,556,207,NO NOTES,763,1.32,10,
2026-06-27T20:02:55.594630,WG,72107928,$960.40,"LOS ANGELES, CA",07/2 16:00,"SAN DIEGO, CA",07/2 19:55,"2,365",114,NO NOTES,2479,0.39,1,
2026-06-27T20:07:37.755822,WG,72108041,$989.41,"BROOKS, KY",06/29 19:00,"GROVE CITY, OH",06/30 08:30,"2,022",211,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,2233,0.44,1,
2026-06-27T20:09:28.178627,WG,72107691,"$1,745.76","LA VERGNE, TN",07/2 16:00,"DES PLAINES, IL",07/3 07:27,348,514,NO NOTES,862,2.03,30,
2026-06-27T22:02:42.340786,WG,72107595,"$1,377.50","SHEPHERDSVILLE, KY",07/2 18:00,"DOTHAN, AL",07/3 09:00,389,538,BAX5100: MUST HAVE TEAM DRIVERS FOR ALL RUNS NO MATTER WHAT THE MILEAGE IS.,927,1.49,15,
2026-06-27T23:02:36.023274,WG,72107912,"$10,045.73","PALO ALTO, CA",07/2 19:00,"ALEXANDRIA, VA",07/6 10:00,"2,621","2,852",NO NOTES,5473,1.84,32,
2026-06-28T13:28:34.955419,WG,72108021,"$2,230.65","MALVERN, PA",06/30 08:00,"FORT ATKINSON, WI",07/1 09:00,611,850,NO NOTES,1461,1.53,17,
2026-06-28T14:15:21.089556,WG,72108012,"$2,099.19","SANFORD, NC",06/30 14:00,"PORTAGE, MI",07/1 09:30,201,723,NO NOTES,924,2.27,37,
2026-06-28T15:08:11.540337,WG,72108022,"$4,818.36","MEMPHIS, TN",06/30 11:00,"NEW YORK, NY",07/1 12:09,545,"1,112",NO NOTES,1657,2.91,58,
2026-06-29T01:15:37.909019,WG,72108072,$901.02,"MOUNT VERNON, IN",07/1 09:00,"MOUNT VERNON, IN",07/1 09:00,519,0,STAGING LOAD-DESTINATION UNKNOWN-TEAMS ONLY,519,1.74,21,
2026-06-29T05:28:41.852916,WG,72107973,"$1,055.44","DRAPER, UT",06/30 10:00,"SALT LAKE CITY, UT",06/30 11:58,406,22,NO NOTES,428,2.47,42,
2026-06-29T10:51:16.904437,SE,72108046,"$5,141.09","WILMINGTON, NC",06/29 08:30,"SAN JOSE, CA",07/2 10:00,276,"2,854",NO NOTES,3130,1.64,23,
2026-06-29T11:42:27.203687,WG,72108050,$816.37,"BREINIGSVILLE, PA",06/29 09:00,"SOMERSET, NJ",06/29 10:01,"2,454",73,NO NOTES,2527,0.32,1,
2026-06-29T11:42:34.903974,WG,72108051,$833.19,"BREINIGSVILLE, PA",06/30 09:00,"SOMERSET, NJ",06/30 10:01,"2,454",73,NO NOTES,2527,0.33,1,
2026-06-29T12:15:16.437977,WG,72108015,"$3,378.92","HUNTSVILLE, AL",06/30 13:00,"SAN ANTONIO, TX",07/1 10:31,345,941,RADMT UN2913 NO HAZMAT REROUTE,1286,2.63,49,
2026-06-29T12:29:58.964238,WG,72108080,$834.33,"CRANBURY, NJ",07/1 10:00,"RARITAN, NJ",07/1 12:07,660,29,00046768: ALL TEMP CONTROL LOADS MUST BE TVAL,689,1.21,7,
2026-06-29T12:30:03.789894,WG,72108079,$834.33,"CRANBURY, NJ",07/1 10:00,"RARITAN, NJ",07/1 12:37,660,29,00046768: ALL TEMP CONTROL LOADS MUST BE TVAL,689,1.21,7,
2026-06-29T12:31:13.599199,SE,72108054,"$2,088.77","GLENWOOD, IL",06/30 14:00,"HARRISON, NJ",07/1 08:19,688,767,NO NOTES,1455,1.44,14,
2026-06-29T12:43:43.770088,WG,72108081,"$1,982.57","BLOOMINGTON, IN",07/1 13:00,"SWIFTWATER, PA",07/2 05:28,508,704,NO NOTES,1212,1.64,19,
2026-06-29T13:21:52.798733,WG,72108056,$843.92,"TRENTON, NJ",06/30 11:30,"HORSHAM, PA",06/30 13:43,650,34,NO NOTES,684,1.23,7,
2026-06-29T13:23:23.416237,SE,72108098,$630.36,"SALEM, OH",06/29 11:22,"WARRENDALE, PA",06/29 16:07,"2,129",53,4 PCS 3000# 2 ARE 48X36X68 AND 2 ARE 60X36X50,2182,0.29,1,
2026-06-29T13:49:39.048466,WG,72108139,$874.25,"NEW BRUNSWICK, NJ",06/30 09:00,"LEBANON, NJ",06/30 11:30,"2,514",25,ORDER NOTE: PLEASE MAKE SURE TEMP RANGE IS BETWEEN 15 TO 25C WITH SET POINT AT 20C.,2539,0.34,1,
2026-06-29T14:01:36.436797,WG,72108102,$782.62,"SAN DIEGO, CA",07/1 10:00,"SAN DIEGO, CA",07/1 12:00,"2,319",10,ORDER NOTE: DATA LOGGERS ARE ON A 1-HOUR TIMED DELAY. DRIVER MUST REMAIN ONSITE FOR 1 HOUR PRIOR TO DEPARTURE.,2329,0.34,1,
2026-06-29T14:02:22.012285,SE,72108103,"$2,205.03","CALVERT CITY, KY",06/29 13:00,"KENEDY, TX",06/30 10:46,"1,709",953,NO NOTES,2662,0.83,2,
2026-06-29T14:14:24.746576,WG,72108123,"$1,118.89","INDIANAPOLIS, IN",06/30 08:00,"NORTH CHICAGO, IL",06/30 14:21,531,228,NO NOTES,759,1.47,14,
2026-06-29T14:14:30.301368,WG,72108142,$922.28,"VANDALIA, OH",06/30 08:00,"SEYMOUR, IN",06/30 12:28,482,140,NO NOTES,622,1.48,14,
2026-06-29T14:29:39.266334,WG,72108146,"$1,855.10","MORRISVILLE, NC",07/1 09:00,"BLOOMINGTON, IN",07/2 08:00,226,643,NO NOTES,869,2.13,33,
2026-06-29T14:37:09.091807,SE,72108140,"$3,853.25","MENOMINEE, MI",06/29 15:00,"EAGLE PASS, TX",07/1 09:00,978,"1,596",NO NOTES,2574,1.50,17,
2026-06-29T14:58:26.294238,SE,72108130,"$1,600.97","EVANSVILLE, IN",06/29 13:00,"OSHKOSH, WI",06/30 00:15,"1,761",459,NO NOTES,2220,0.72,1,
2026-06-29T15:00:29.930461,WG,72108129,"$1,712.40","MACUNGIE, PA",06/30 08:00,"LOCKBOURNE, OH",07/1 08:00,619,448,NO NOTES,1067,1.60,18,
2026-06-29T15:02:19.512269,SE,72108106,$630.36,"SALEM, OH",06/29 12:00,"WARRENDALE, PA",06/29 15:00,"2,129",53,NO NOTES,2182,0.29,1,
2026-06-29T15:07:49.624228,WG,72108131,"$1,712.40","MACUNGIE, PA",06/30 10:00,"LOCKBOURNE, OH",07/1 18:00,619,448,NO NOTES,1067,1.60,18,
2026-06-29T15:10:28.084892,SE,72108149,"$3,705.51","ANDOVER, MA",07/1 15:00,"NEW IBERIA, LA",07/3 04:00,936,"1,664",NO NOTES,2600,1.43,15,
2026-06-29T15:14:25.443231,WG,72108132,"$2,567.13","SAN ANTONIO, TX",06/30 08:00,"DULUTH, GA",07/1 07:13,"1,166","1,021","L1163385: TRAILERS MUST BE CLEAN, EMPTY, DRY, FREE OF STRUCTURAL DAMAGE AND NO ODORS FROM PRIOR FREIGHT. MUST HAVE TWO LOAD LOCKS IN EACH TRAILER AND FUEL TANKS 3/4 FULL PRIOR TO PICKUP ARRIVAL.",2187,1.17,7,
2026-06-29T15:15:18.576814,WG,72108107,"$1,100.03","KANKAKEE, IL",07/1 08:30,"SAINT LOUIS, MO",07/1 15:22,681,253,NO NOTES,934,1.18,6,
2026-06-29T15:16:14.470793,SE,72108108,"$1,482.98","CONCORD, OH",06/29 13:00,"BEDFORD, MA",06/30 07:00,"2,106",612,NO NOTES,2718,0.55,1,
2026-06-29T15:16:23.738167,SE,72108151,$849.53,"MECHANICSBURG, PA",06/29 16:00,"MILLBURN, NJ",06/30 09:00,"2,370",163,NO NOTES,2533,0.34,1,
2026-06-29T15:37:08.107822,WG,72103470,"$6,793.29","CARBONDALE, CO",07/2 15:00,"BROOKLYN, NY",07/6 09:00,"1,671","1,958",NO NOTES,3629,1.87,30,
2026-06-29T15:50:17.112093,WG,72108156,"$3,384.36","CRANBURY, NJ",07/1 12:00,"MOUNT PROSPECT, IL",07/2 09:00,660,828,NO NOTES,1488,2.27,39,
2026-06-29T15:50:25.003921,WG,72108115,"$2,752.56","RENSSELAER, NY",07/1 13:00,"SAINT LOUIS, MO",07/2 12:24,834,"1,030",NO NOTES,1864,1.48,16,
2026-06-29T15:51:11.191254,SE,72108159,"$2,702.92","TWO RIVERS, WI",06/29 17:00,"ATHENS, GA",06/30 15:00,894,955,NO NOTES,1849,1.46,15,
2026-06-29T15:51:24.499116,SE,72108177,$705.56,"AMESBURY, MA",06/30 12:00,"WINDSOR, CT",06/30 16:18,957,132,NO NOTES,1089,0.65,1,
2026-06-29T15:57:01.959131,WG,72108198,$943.95,"BROOKS, KY",06/30 17:00,"CHESTERFIELD, MO",07/1 00:54,421,301,IC7875: ENSURE THAT YOU HAVE THE ENTIRE BOL FILLED OUT AT THIS LOCATION.,722,1.31,9,
2026-06-29T15:59:14.037966,SE,72108179,$449.49,"DALLAS, TX",07/1 10:00,"FORT WORTH, TX",07/1 12:09,978,31,NO NOTES,1009,0.45,1,
2026-06-29T16:28:34.252893,WG,72108184,$834.33,"CRANBURY, NJ",06/30 10:00,"RARITAN, NJ",06/30 12:07,660,29,00046768: ALL TEMP CONTROL LOADS MUST BE TVAL,689,1.21,7,
2026-06-29T16:42:25.627884,WG,72108162,"$1,878.97","MORRISVILLE, PA",06/29 14:00,"CINCINNATI, OH",06/30 03:52,"2,501",582,NO NOTES,3083,0.61,2,
2026-06-29T17:01:11.286250,WG,72108200,"$4,353.07","HORSHAM, PA",07/1 08:00,"LONGMONT, CO",07/3 09:00,632,"1,751",NO NOTES,2383,1.83,27,
2026-06-29T17:07:51.064894,WG,72108187,"$1,806.99","SILVER SPRING, MD",06/30 13:00,"DANBURY, CT",06/30 20:33,485,285,NO NOTES,770,2.35,39,
2026-06-29T17:15:47.762310,WG,72104684,"$2,351.43","HOUSTON, TX",07/2 10:00,"BOULDER, CO",07/3 12:24,967,"1,078",NO NOTES,2045,1.15,6,
2026-06-29T17:22:51.839834,WG,72108188,"$1,273.69","MEMPHIS, TN",07/2 09:30,"GROVEPORT, OH",07/2 23:30,544,588,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",1132,1.13,5,
2026-06-29T17:35:32.090818,WG,72108224,"$1,268.06","PEABODY, MA",06/29 14:28,"YORKTOWN HEIGHTS, NY",06/29 20:14,"2,741",201,NO NOTES,2942,0.43,1,
2026-06-29T17:57:12.174995,WG,72108192,"$1,735.34","PHILADELPHIA, PA",07/1 12:00,"BROOKS, KY",07/2 07:00,628,698,NO NOTES,1326,1.31,10,
2026-06-29T17:58:07.355130,SE,72108226,$817.77,"PITTSBURGH, PA",06/30 07:00,"CRESTLINE, OH",06/30 12:26,526,185,NO NOTES,711,1.15,5,
2026-06-29T18:09:10.279229,SE,72108178,,,,,,,,NO NOTES,,,1,
2026-06-29T18:16:06.359875,SE,72108229,$701.19,"MOORESTOWN, NJ",06/30 08:00,"BRIDGEPORT, NJ",06/30 10:03,"2,493",26,NO NOTES,2519,0.28,1,
2026-06-29T18:28:46.775125,WG,72108196,"$1,208.12","ERIE, PA",06/30 14:30,"INDIANAPOLIS, IN",07/1 08:00,637,407,NO NOTES,1044,1.16,5,
2026-06-29T18:29:14.019747,WG,72108212,"$4,591.93","TAMPA, FL",07/1 13:00,"SOUDERTON, PA",07/2 13:15,577,"1,070",NO NOTES,1647,2.79,54,
2026-06-29T19:08:23.071322,WG,72108236,"$2,824.99","LOUISVILLE, KY",07/1 15:30,"FORT WORTH, TX",07/2 11:25,417,866,NO NOTES,1283,2.20,36,
2026-06-29T19:30:01.628451,SE,72108242,$712.69,"LIBERTYVILLE, IL",06/30 10:00,"INDIANAPOLIS, IN",06/30 16:30,"1,764",235,NO NOTES,1999,0.36,1,
2026-06-29T19:44:39.543565,SE,72108186,$779.26,"BOSTON, MA",07/1 09:00,"BOSTON, MA",07/1 13:38,"2,728",77,NO NOTES,2805,0.28,1,
2026-06-29T20:43:04.761953,WG,72108288,"$1,950.40","SPRINGBORO, OH",07/1 15:00,"LENOIR, NC",07/2 08:00,"1,964",442,NO NOTES,2406,0.81,2,
2026-06-29T20:56:36.983031,WG,72108255,$853.62,"WEST GREENWICH, RI",07/1 08:00,"CAMBRIDGE, MA",07/1 11:04,"2,675",74,"***EQUIPMENT MUST BE 48' OR SMALLER. DRIVER UNLOAD REQUIRED - PALLET JACK ON SITE*** DEDICATED TEMP CONTROL, SET TEMP 5C AND RANGE 2-8C. NO WOOD FLOORS. IF SEALED LOAD, SHIPPER TO AFFIX SEAL. SEAL TO BE BROKEN BY RECEIVER- DRIVER NEVER TO BREAK SEAL. TRAILER MUST BE AT SET TEMP PRIOR ARRIVING AT SHIPPER. MINIMUM 2 STRAPS/ LOAD BARS REQUIRED TO SECURE FREIGHT. PADLOCK REQUIRED AT ALL TIMES.",2749,0.31,1,
2026-06-29T21:35:25.229549,WG,72107292,"$1,605.69","MEMPHIS, TN",06/29 21:31,"HOUSTON, TX",06/30 11:33,"1,597",589,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",2186,0.73,1,
2026-06-29T21:49:35.669010,WG,72108283,"$1,140.73","MEMPHIS, TN",06/30 20:00,"CHESTERFIELD, MO",07/1 08:00,"1,597",344,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",1941,0.59,1,
2026-06-29T22:01:02.154487,WG,72108338,$604.33,"COLUMBUS, OH",07/1 13:00,"GROVEPORT, OH",07/1 15:30,"2,002",16,"BICOCT: TRAILERS MUST BE CLEAN, EMPTY, DRY, FREE OF STRUCTURAL DAMAGE AND NO ODORS FROM PRIOR FREIGHT. MUST HAVE TWO LOAD LOCKS IN EACH TRAILER AND FUEL TANKS 3/4 FULL PRIOR TO PICKUP ARRIVAL. ANY SHIPMENTS WITH VA-Q-TEC CONTAINERS, PLEASE MAKE SURE CONTAINERS ARE OFFLOADED AND COMPLETELY EMPTIED AT DELIVERY BEFORE BEING RELOADED ONTO TRUCK FOR RETURN TO VA-Q-TEC.",2018,0.30,1,
2026-06-30T00:22:16.461151,SE,72108335,"$1,283.88","NORTH CLARENDON, VT",06/30 08:00,"BEACHWOOD, OH",07/1 08:00,"2,610",530,NO NOTES,3140,0.41,1,
2026-06-30T00:50:20.090679,SE,72101439,$666.03,"UNION CITY, CA",06/30 21:30,"SANTA CLARA, CA",07/1 13:36,409,25,PCS & WGT MAY VARY/ MUST BE ABLE TO HAUL 42000 LBS/ SOME STOPS MAY BE REMOVED,434,1.53,15,
2026-06-30T03:29:04.131582,WG,72108268,"$2,141.48","LOUISVILLE, KY",07/1 17:30,"CARY, NC",07/2 09:00,"2,088",557,NO NOTES,2645,0.81,2,
2026-06-30T06:50:35.235178,SE,72108347,$654.00,"DULLES, VA",07/1 08:00,"DURHAM, NC",07/1 15:40,"2,648",267,IF IN A STRAIGHT TRUCK WILL NEED TO LOAD FREIGHT.,2915,0.22,1,
2026-06-30T06:50:37.647775,SE,72108346,"$1,298.40","DULLES, VA",07/1 08:00,"LAFAYETTE, IN",07/1 22:30,"2,648",635,IF IN A STRAIGHT TRUCK DRIVER WILL NEED TO LOAD.,3283,0.40,1,
2026-06-30T07:01:19.993502,WG,72108351,"$1,293.37","MEMPHIS, TN",07/2 10:00,"GROVEPORT, OH",07/2 23:30,"1,805",588,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",2393,0.54,1,
2026-06-30T11:08:04.085075,WG,72108397,$672.81,"COLUMBUS, OH",07/2 09:00,"LOCKBOURNE, OH",07/2 11:00,"2,234",19,"BICOCT: TRAILERS MUST BE CLEAN, EMPTY, DRY, FREE OF STRUCTURAL DAMAGE AND NO ODORS FROM PRIOR FREIGHT. MUST HAVE TWO LOAD LOCKS IN EACH TRAILER AND FUEL TANKS 3/4 FULL PRIOR TO PICKUP ARRIVAL. ANY SHIPMENTS WITH VA-Q-TEC CONTAINERS, PLEASE MAKE SURE CONTAINERS ARE OFFLOADED AND COMPLETELY EMPTIED AT DELIVERY BEFORE BEING RELOADED ONTO TRUCK FOR RETURN TO VA-Q-TEC.",2253,0.30,1,
2026-06-30T11:42:33.360642,WG,72108380,"$3,234.80","WHIPPANY, NJ",07/1 12:00,"BLOOMINGTON, IN",07/2 08:00,"2,758",747,NO NOTES,3505,0.92,3,
2026-06-30T12:01:13.595569,WG,72108383,"$1,293.37","MEMPHIS, TN",07/2 11:00,"GROVEPORT, OH",07/3 01:00,"1,805",588,"L1228142: TRACTOR SHIPMENTS MUST BE ABLE TO ACCOMODATE 26 PALLETS, NEED TO HAVE 53' OF SPACE, NO PALLET JACKS",2393,0.54,1,
2026-06-30T12:22:21.042879,SE,72108400,$748.63,"MOORESTOWN, NJ",06/30 10:00,"BRIDGEPORT, NJ",06/30 12:03,"2,705",26,NO NOTES,2731,0.27,1,
2026-06-30T12:42:30.201816,WG,72108403,$863.81,"BREINIGSVILLE, PA",06/30 09:00,"SOMERSET, NJ",06/30 10:01,"2,695",73,NO NOTES,2768,0.31,1,
2026-06-30T13:35:52.785224,WG,72108391,"$1,268.13","MALVERN, PA",07/1 14:00,"SOLON, OH",07/2 07:00,"2,689",383,NO NOTES,3072,0.41,1,
2026-06-30T14:08:08.437940,SE,72108147,"$1,543.37","PAOLA, KS",06/30 16:00,"BATTLE CREEK, MI",07/1 08:19,"1,630",697,NO NOTES,2327,0.66,1,
2026-06-30T14:15:26.971446,SE,72108375,"$1,572.32","DALLAS, TX",06/30 15:00,"LAFAYETTE, IN",07/1 12:31,"1,423",941,NO NOTES,2364,0.67,1,
2026-06-30T14:29:22.179468,SE,72108345,"$3,571.05","QUINCY, IL",06/30 15:15,"LOS ANGELES, CA",07/2 12:00,"1,837","1,845",NO NOTES,3682,0.97,3,
2026-06-30T14:43:06.756118,SE,72108384,"$2,252.41","TITUSVILLE, FL",06/30 12:00,"MONTVILLE, NJ",07/1 12:22,"2,536","1,075",NO NOTES,3611,0.62,2,
2026-06-30T15:14:33.835499,WG,72108420,"$1,232.09","NEW BRUNSWICK, NJ",07/1 11:30,"DEVENS, MA",07/1 18:07,"2,756",241,NO NOTES,2997,0.41,1,
2026-06-30T15:21:38.101225,WG,72108416,"$4,394.77","ALLENTOWN, PA",07/1 10:00,"OLIVE BRANCH, MS",07/2 09:00,"1,903","1,009",NO NOTES,2912,1.51,18,
2026-06-30T15:28:23.878947,WG,72108424,"$1,309.78","WARTBURG, TN",06/30 12:20,"COLLEGE PARK, GA",06/30 18:30,"2,142",219,HAS TO BE ATEAM ON THE LOAD,2361,0.55,1,
2026-06-30T15:42:56.199718,WG,72108427,"$1,005.65","ALLENTOWN, PA",07/2 09:00,"NEW BRUNSWICK, NJ",07/2 12:36,"1,903",71,BRCOAR: TRAILER MUST BE EMPTY OUTSIDE OF EQUIPMENT NEEDED TO SECURE. NO PLYWOOD IN TRAILER FLOORS ON REEFER LOADS.,1974,0.51,1,
2026-06-30T15:49:35.880880,WG,72108457,"$2,197.74","DENTON, TX",07/1 09:00,"KETTERING, OH",07/2 08:00,613,998,"DRIVER REQUIREMENT: IT IS PREFERRED THAT THE DRIVER BE A US CITIZEN WITH ALL PROPER ID IN HAND. IF DRIVER IS NOT A US CITIZEN THEY MUST HAVE A VALID DRIVER'S LICENSE, GREEN CARD, PASSPORT AND ALL PROPER ID IN HAND. FAILURE TO PROVIDE ALL PROPER ID WILL RESULT IN DRIVER BEING TURNED AWAY AT THE GATE.",1611,1.36,12,
2026-06-30T15:50:30.378519,SE,72108428,,,,,,,,NO NOTES,,,1,
2026-06-30T15:50:50.641091,SE,72108443,"$1,703.47","IOWA CITY, IA",07/1 09:00,"ADDISON, TX",07/3 00:00,"1,095",787,NO NOTES,1882,0.91,1,
2026-06-30T15:50:54.436022,SE,72108462,"$2,726.87","IOWA CITY, IA",07/1 17:00,"NEWARK, DE",07/2 14:41,"1,095",949,NO NOTES,2044,1.33,12,
2026-06-30T15:50:58.521021,SE,72108429,$597.24,"INDIANAPOLIS, IN",07/2 09:00,"INDIANAPOLIS, IN",07/2 13:00,"1,273",106,CSAFE RKN SHIPMENT TO PICK UP FREIGHT. WILL NEED TO FOLLOW SHIPPER ORIGIN INSTRUCTIONS AT ALL LOCATIONS. INSTRUCTIONS WILL BE EMAILED TO YOU,1379,0.43,1,
2026-06-30T16:15:19.299877,SE,72108435,"$2,877.84","SAINT PAUL, MN",06/30 15:00,"ENFIELD, CT",07/2 08:00,"1,930","1,304",NO NOTES,3234,0.89,2,
2026-06-30T16:50:34.638578,SE,72108493,"$1,703.47","IOWA CITY, IA",07/2 15:00,"ADDISON, TX",07/3 09:14,"1,095",787,NO NOTES,1882,0.91,1,
2026-06-30T17:15:23.171861,SE,72108355,"$1,651.10","CLINTON, TN",07/1 08:00,"CHARLOTTE, NC",07/1 15:01,"1,389",260,NO NOTES,1649,1.00,1,
2026-06-30T17:28:36.657898,WG,72108474,"$1,355.04","ROCHESTER, NY",07/1 08:00,"CARTERET, NJ",07/1 14:30,"1,848",329,NO NOTES,2177,0.62,1,
2026-06-30T18:00:59.716504,WG,72108520,"$3,370.15","KANSAS CITY, MO",07/1 14:00,"WESCOSVILLE, PA",07/2 15:05,783,"1,109",NO NOTES,1892,1.78,25,
2026-06-30T18:01:09.444586,WG,72108306,"$2,655.29","LA VERGNE, TN",07/5 14:00,"WEATHERFORD, TX",07/6 09:00,"1,234",750,NO NOTES,1984,1.34,12,
2026-06-30T18:50:01.449408,WG,72108583,"$1,119.49","CAPITOL HEIGHTS, MD",07/2 03:00,"SNOWSHOE, WV",07/2 09:32,"1,887",237,NO NOTES,2124,0.53,1,
2026-06-30T19:01:01.657753,WG,72108307,"$2,958.80","LA VERGNE, TN",07/5 15:00,"AUSTIN, TX",07/6 11:04,"1,234",873,NO NOTES,2107,1.40,14,
2026-06-30T19:01:13.587098,SE,72108604,"$3,169.02","PEEBLES, OH",06/30 18:30,"OGDEN, UT",07/2 08:30,"2,241","1,716",NO NOTES,3957,0.80,3,
2026-06-30T19:36:32.206301,SE,72107077,"$1,147.56","COLUMBUS, OH",07/5 15:30,"LOUISVILLE, KY",07/5 21:22,"1,456",206,NO NOTES,1662,0.69,1,
2026-06-30T20:21:53.067057,WG,72108527,"$2,603.95","NASHVILLE, TN",07/5 07:00,"MOUNT PROSPECT, IL",07/6 09:00,"1,220",503,NO NOTES,1723,1.51,17,
2026-06-30T21:00:57.875494,WG,72107306,"$2,051.08","SHEPHERDSVILLE, KY",07/5 17:00,"WARRENDALE, PA",07/6 08:00,"1,315",417,BAX5100: ALL TAKEDA LOADS THAT ARE TEMP SHOULD BE TVAL,1732,1.18,7,
2026-06-30T21:07:49.214258,WG,72108529,"$1,054.63","GARNER, NC",07/2 09:00,"WILMINGTON, NC",07/2 13:04,"1,760",121,NO NOTES,1881,0.56,1,
2026-06-30T22:07:47.979779,WG,72108530,"$2,185.12","MECHANICSBURG, PA",07/2 11:00,"LOCKBOURNE, OH",07/2 20:10,"1,819",361,NO NOTES,2180,1.00,2,
2026-06-30T22:35:24.061349,WG,72108697,"$1,079.97","HICKSVILLE, NY",07/1 08:00,"JAMAICA, NY",07/1 10:00,"2,034",22,NO NOTES,2056,0.53,1,
2026-06-30T22:50:15.804227,SE,72108596,"$3,310.65","RICHLAND HILLS, TX",07/2 11:00,"BROOKLYN, NY",07/7 09:00,623,"1,595",NO NOTES,2218,1.49,17,
2026-06-30T22:50:19.135648,SE,72108594,"$3,310.65","RICHLAND HILLS, TX",07/2 11:00,"BROOKLYN, NY",07/7 09:00,623,"1,595",NO NOTES,2218,1.49,17,
2026-06-30T22:50:21.755885,SE,72108595,"$3,310.65","RICHLAND HILLS, TX",07/2 11:00,"BROOKLYN, NY",07/7 09:00,623,"1,595",NO NOTES,2218,1.49,17,
2026-06-30T22:50:24.428165,SE,72108293,"$3,310.65","RICHLAND HILLS, TX",07/2 11:00,"BROOKLYN, NY",07/7 09:00,623,"1,595",NO NOTES,2218,1.49,17,
2026-06-30T23:01:25.011716,SE,72066366,"$3,191.79","SAINT PAUL, MN",07/5 19:00,"BUFFALO, NY",07/6 16:22,"1,227",934,NO NOTES,2161,1.48,16,
2026-07-01T00:01:18.080489,SE,72086948,"$2,068.36","PAPILLION, NE",07/5 20:00,"INDIANAPOLIS, IN",07/6 10:38,865,618,DRIVER MAY NEED TO ASSIST WITH LOADING/UNLOADING,1483,1.39,13,
2026-07-01T02:36:02.642778,SE,72084512,"$3,577.75","EL PASO, TX",07/5 22:30,"WEST SACRAMENTO, CA",07/5 23:31,268,"1,183",BASEBALL EQ/ PCS & WGT VARY/ MAY HAVE TO ASSIST WITH LOADING/UNLOADING,1451,2.47,44,
2026-07-01T03:01:02.065473,SE,72055139,"$2,188.34","NASHVILLE, TN",07/5 23:00,"JACKSONVILLE, FL",07/6 13:13,"1,217",598,BASEBALL EQUIPMENT// 20FT TRUCK REQ,1815,1.21,8,
2026-07-01T03:07:53.347715,SE,72078121,"$3,609.87","TACOMA, WA",07/5 23:00,"LAS VEGAS, NV",07/7 00:54,"1,473","1,147",BASEBALL EQ PCS & WEIGHT WILL VARY/ MAY HAVE TO HELP WITH LOADING/UNLOADING EQUIPMENT,2620,1.38,14,
